"","SASID","Grade","City","Postal Code","Assignment Type","Growth Proficiency Category","SGP (Expectation=50)","Test 1 Benchmark Category","Test 2 Benchmark Category","Test 1 PR","Test 2 PR","IEP","TS Placement"
"224",1085203833,7,"Mashpee","02649","Star Math","High Growth, High Proficiency",67,"On Watch","At/Above Benchmark",26,40,0,"Tier 1 ELA Gen Ed"
"225",1013528531,7,"Plymouth","02360","Star Math","High Growth, High Proficiency",98,"Urgent Intervention","At/Above Benchmark",1,40,1,"Learning Specialist"
"226",1085716135,7,"Plymouth","02360","Star Math","High Growth, Low Proficiency",51,"Intervention","Intervention",16,20,1,"Learning Specialist"
"227",1034517431,7,"Plymouth","02360","Star Math","High Growth, High Proficiency",89,"Intervention","At/Above Benchmark",19,48,0,"Tier 1 Math Gen Ed"
"228",1013831932,7,"Middleborough","02346","Star Math","Low Growth, High Proficiency",39,"At/Above Benchmark","At/Above Benchmark",46,45,0,"Tier 1 ELA Gen Ed"
"229",1035731733,7,"Plymouth","02360","Star Math","Low Growth, Low Proficiency",14,"On Watch","Intervention",35,21,0,"Tier 1 ELA Gen Ed"
"230",1099008933,7,"Plymouth","02360","Star Math","Low Growth, High Proficiency",49,"At/Above Benchmark","At/Above Benchmark",77,76,0,"Gen Ed"
"231",1007809738,7,"Plymouth","02360","Star Math","Low Growth, High Proficiency",21,"At/Above Benchmark","At/Above Benchmark",99,96,1,"Learning Specialist"
"232",1029035430,7,"Plymouth","02360","Star Math","High Growth, High Proficiency",69,"At/Above Benchmark","At/Above Benchmark",80,84,0,"Tier 1 Math Gen Ed"
"233",1002014133,7,"Marshfield","02050","Star Math","Low Growth, High Proficiency",23,"At/Above Benchmark","At/Above Benchmark",81,71,0,"Gen Ed"
"234",1064767138,7,"Plymouth","02360","Star Math","High Growth, High Proficiency",51,"At/Above Benchmark","At/Above Benchmark",78,78,0,"Gen Ed"
"235",1064443037,7,"Barnstable","02632","Star Math","Low Growth, High Proficiency",28,"At/Above Benchmark","At/Above Benchmark",95,86,0,"Gen Ed"
"236",1009034831,7,"Plymouth","02360","Star Math","High Growth, High Proficiency",98,"At/Above Benchmark","At/Above Benchmark",51,85,0,"Gen Ed"
"237",1007996927,7,"Bourne","02532","Star Math","High Growth, High Proficiency",96,"On Watch","At/Above Benchmark",32,72,1,"Learning Specialist"
"238",1025332830,7,"Carver","02330","Star Math","High Growth, High Proficiency",70,"At/Above Benchmark","At/Above Benchmark",40,54,0,"Gen Ed"
"239",1060898927,7,"Wareham","02576","Star Math","High Growth, Low Proficiency",55,"Urgent Intervention","Intervention",7,11,1,"Learning Specialist"
"240",1078305930,7,"Plymouth","02360","Star Math","High Growth, High Proficiency",99,"At/Above Benchmark","At/Above Benchmark",55,87,1,"Learning Specialist"
"241",1069618746,7,"Lakeville","02347","Star Math","Low Growth, High Proficiency",41,"At/Above Benchmark","At/Above Benchmark",84,80,0,"Gen Ed"
"242",1093738331,7,"Sandwich","02563","Star Math","Low Growth, High Proficiency",25,"At/Above Benchmark","At/Above Benchmark",73,63,0,"Tier 1 ELA Gen Ed"
"243",1007005241,7,"Bourne","02532","Star Math","High Growth, High Proficiency",82,"At/Above Benchmark","At/Above Benchmark",47,68,0,"Tier 1 Math Gen Ed"
"244",1060837738,7,"Plympton","02367","Star Math","High Growth, High Proficiency",83,"At/Above Benchmark","At/Above Benchmark",51,72,0,"Gen Ed"
"245",1065152248,7,"Middleborough","02346","Star Math","High Growth, High Proficiency",56,"At/Above Benchmark","At/Above Benchmark",94,92,0,"Gen Ed"
"246",1099547133,7,"Plymouth","02360","Star Math","High Growth, Low Proficiency",92,"Urgent Intervention","On Watch",8,37,1,"Learning Specialist"
"247",1020340440,7,"Plymouth","02360","Star Math","High Growth, High Proficiency",86,"At/Above Benchmark","At/Above Benchmark",79,89,0,"Gen Ed"
"248",1065628530,7,"Wareham","02571","Star Math","High Growth, Low Proficiency",67,"Intervention","On Watch",21,35,0,"Gen Ed"
"249",1002862833,7,"Plymouth","02360","Star Math","Low Growth, Low Proficiency",12,"Urgent Intervention","Urgent Intervention",4,2,1,"Learning Specialist"
"250",1083035430,7,"Plymouth","02360","Star Math","High Growth, High Proficiency",56,"At/Above Benchmark","At/Above Benchmark",69,72,0,"Tier 1 ELA Gen Ed"
"251",1077036434,7,"Wareham","02576","Star Math","Low Growth, High Proficiency",10,"At/Above Benchmark","At/Above Benchmark",92,75,0,"Gen Ed"
"252",1096036435,7,"Plymouth","02360","Star Math","High Growth, High Proficiency",77,"At/Above Benchmark","At/Above Benchmark",81,87,0,"Gen Ed"
"253",1051132836,7,"Plymouth","02360","Star Math","High Growth, High Proficiency",80,"At/Above Benchmark","At/Above Benchmark",63,78,0,"Gen Ed"
"254",1045917538,7,"Middleborough","02346","Star Math","Low Growth, Low Proficiency",39,"On Watch","On Watch",30,30,0,"Gen Ed"
"255",1099034436,7,"Plymouth","02360","Star Math","High Growth, Low Proficiency",54,"Urgent Intervention","Urgent Intervention",2,4,1,"Learning Specialist"
"256",1059034432,7,"Plymouth","02360","Star Math","High Growth, High Proficiency",68,"On Watch","At/Above Benchmark",32,45,0,"Gen Ed"
"257",1050724631,7,"Fall River","02724","Star Math","High Growth, High Proficiency",70,"At/Above Benchmark","At/Above Benchmark",46,61,0,"Tier 1 ELA Gen Ed"
"258",1062003330,7,"Wareham","02571","Star Math","High Growth, Low Proficiency",86,"Urgent Intervention","Intervention",6,24,1,"Learning Specialist"
"259",1075036432,7,"Plymouth","02360","Star Math","High Growth, High Proficiency",63,"At/Above Benchmark","At/Above Benchmark",71,77,0,"Gen Ed"
"260",1041035433,7,"Plymouth","02360","Star Math","High Growth, High Proficiency",72,"At/Above Benchmark","At/Above Benchmark",68,78,0,"Tier 1 ELA Gen Ed"
"261",1030035431,7,"Plymouth","02360","Star Math","Low Growth, High Proficiency",36,"At/Above Benchmark","At/Above Benchmark",69,65,0,"Gen Ed"
"262",1089035436,7,"Plymouth","02360","Star Math","Low Growth, High Proficiency",41,"At/Above Benchmark","At/Above Benchmark",58,57,0,"Gen Ed"
"263",1091036430,7,"Plymouth","02360","Star Math","High Growth, High Proficiency",65,"At/Above Benchmark","At/Above Benchmark",89,90,0,"Gen Ed"
"264",1020591832,7,"Plymouth","02360","Star Math","Low Growth, High Proficiency",27,"At/Above Benchmark","At/Above Benchmark",58,50,0,"Tier 1 ELA Gen Ed"
"265",1010911138,7,"Plymouth","360-5","Star Math","Low Growth, Low Proficiency",33,"Intervention","Intervention",21,19,1,"Tier 1 Math Gen Ed"
"266",1046906032,7,"Kingston","02364","Star Math","High Growth, High Proficiency",63,"At/Above Benchmark","At/Above Benchmark",88,89,0,"Gen Ed"
"267",1095809635,8,"Plymouth","02360","Star Math","High Growth, High Proficiency",73,"At/Above Benchmark","Intervention",48,22,1,"Learning Specialist"
"268",1016187726,8,"Wareham","02571","Star Math","Low Growth, Low Proficiency",45,"On Watch","On Watch",28,30,1,"Learning Specialist"
"269",1049838142,8,"Lakeville","02347","Star Math","Low Growth, Low Proficiency",38,"Intervention","Intervention",11,11,1,"Tier 1 ELA Gen Ed"
"270",1077335346,8,"Plymouth","02360","Star Math","Low Growth, High Proficiency",1,"At/Above Benchmark","At/Above Benchmark",91,59,0,"Gen Ed"
"271",1053230433,8,"Plymouth","02360","Star Math","High Growth, Low Proficiency",86,"Urgent Intervention","Intervention",5,22,1,"Learning Specialist"
"272",1097628535,8,"Wareham","02571","Star Math","High Growth, High Proficiency",62,"At/Above Benchmark","At/Above Benchmark",68,72,0,"Tier 1 ELA Gen Ed"
"273",1021726530,8,"Wareham","02571","Star Math","High Growth, Low Proficiency",69,"Intervention","On Watch",19,31,1,"Tier 1 Math Gen Ed"
